project_id,project_code,project_name,status,budget_plan,budget_actual,variance,usage_pct
8d024b75-08e1-4439-85c4-544a329bd112,CMD-BEN-A-1787761501,Smoke Command Benefit A,DRAFT,0.00,0.00,0.00,0.00
6850f463-6fda-471d-ac3a-3a48d93dd3f5,CMD-BEN-A-1787761552,Smoke Command Benefit A,DRAFT,0.00,0.00,0.00,0.00
b53e8183-aea8-4cf9-ae53-4770478be344,CMD-BEN-B-1787761501,Smoke Command Benefit B,DRAFT,0.00,0.00,0.00,0.00
b74cf657-8c46-4b2b-89d3-7222d9ea6922,CMD-BEN-B-1787761552,Smoke Command Benefit B,ACTIVE,0.00,0.00,0.00,0.00
0782c39f-5402-4206-afc8-1f000182062f,DEMO-SDA-001,Bendungan Marga Tiga,ON_HOLD,2730000000000.00,2839200000000.00,109200000000.00,104.00
7dc15879-9da6-40fe-9135-293135176e4f,DEMO-SDA-002,SPAM Regional Jatiluhur I,ACTIVE,1890000000000.00,1814400000000.00,-75600000000.00,96.00
c723a303-9ed3-44d3-9505-4fdd60ebb4bb,DEMO-SDA-003,Normalisasi Sungai Ciliwung,ON_HOLD,1240000000000.00,1016800000000.00,-223200000000.00,82.00
a03b2382-c8b4-4922-8ec4-e14779c8e0c1,DEMO-SDA-004,Bendungan Bener,ACTIVE,1550000000000.00,1441500000000.00,-108500000000.00,93.00
b2a5b12f-2ce2-4789-a15b-2e2b37cb48b5,DEMO-SDA-005,Jaringan Irigasi D.I. Rentang,ACTIVE,912000000000.00,674880000000.00,-237120000000.00,74.00
59811116-edfa-4d5f-a63c-e76f19d2970c,DEMO-SDA-006,Bendungan Karian,ACTIVE,2310000000000.00,2032800000000.00,-277200000000.00,88.00
864ac3c8-e070-443c-919f-fb8437a6f945,DEMO-SDA-007,Pengendalian Banjir Serayu,PLANNING,685000000000.00,239750000000.00,-445250000000.00,35.00
c02ae621-1175-4396-93af-6e00a1a027e8,DEMO-SDA-008,Sistem Air Baku Sepaku,ACTIVE,1120000000000.00,750400000000.00,-369600000000.00,67.00
8be8869b-6cba-4739-b3c0-2fbad9eed111,DEMO-SDA-009,Rehabilitasi Irigasi Batanghari,COMPLETED,540000000000.00,540000000000.00,0.00,100.00
35f42e14-9dd0-4885-965f-b84494a748a3,DEMO-SDA-010,Embung Rote Ndao,DRAFT,325000000000.00,32500000000.00,-292500000000.00,10.00
7b86d2a8-1942-4f1d-93ce-938b1ac1ff41,GIS-SMOKE-1787821487,GIS Smoke Test Project,DRAFT,0.00,0.00,0.00,0.00
eec9c643-c947-46f2-a094-bc85acb846a1,GIS-SMOKE-1787821759,GIS Smoke Test Project,DRAFT,0.00,0.00,0.00,0.00
b649dc50-48ff-4799-9df2-55c68ee8fa58,RSK-1787670240,Risk Smoke Project,DRAFT,0.00,0.00,0.00,0.00
