project_id,project_code,project_name,status,progress_pct,start_date,end_date,budget_plan,budget_actual,budget_usage_pct,health_class,province,priority_score,priority_category
8d024b75-08e1-4439-85c4-544a329bd112,CMD-BEN-A-1787761501,Smoke Command Benefit A,DRAFT,0.00,2026-01-01,2026-12-31,0.00,0.00,0.00,,,,
6850f463-6fda-471d-ac3a-3a48d93dd3f5,CMD-BEN-A-1787761552,Smoke Command Benefit A,DRAFT,0.00,2026-01-01,2026-12-31,0.00,0.00,0.00,,,,
b53e8183-aea8-4cf9-ae53-4770478be344,CMD-BEN-B-1787761501,Smoke Command Benefit B,DRAFT,0.00,2026-01-01,2026-12-31,0.00,0.00,0.00,,,,
b74cf657-8c46-4b2b-89d3-7222d9ea6922,CMD-BEN-B-1787761552,Smoke Command Benefit B,ACTIVE,0.00,2026-01-01,2026-12-31,0.00,0.00,0.00,,,100.00,CRITICAL
0782c39f-5402-4206-afc8-1f000182062f,DEMO-SDA-001,Bendungan Marga Tiga,ON_HOLD,47.60,2025-06-27,2026-08-29,2730000000000.00,2839200000000.00,104.00,,Lampung,,
7dc15879-9da6-40fe-9135-293135176e4f,DEMO-SDA-002,SPAM Regional Jatiluhur I,ACTIVE,41.20,2025-08-26,2026-09-01,1890000000000.00,1814400000000.00,96.00,,Jawa Barat,,
c723a303-9ed3-44d3-9505-4fdd60ebb4bb,DEMO-SDA-003,Normalisasi Sungai Ciliwung,ON_HOLD,50.30,2025-10-25,2026-08-12,1240000000000.00,1016800000000.00,82.00,,DKI Jakarta,,
a03b2382-c8b4-4922-8ec4-e14779c8e0c1,DEMO-SDA-004,Bendungan Bener,ACTIVE,53.10,2025-04-08,2026-09-03,1550000000000.00,1441500000000.00,93.00,,Jawa Tengah,,
b2a5b12f-2ce2-4789-a15b-2e2b37cb48b5,DEMO-SDA-005,Jaringan Irigasi D.I. Rentang,ACTIVE,60.20,2025-11-14,2026-09-14,912000000000.00,674880000000.00,74.00,,Jawa Barat,,
59811116-edfa-4d5f-a63c-e76f19d2970c,DEMO-SDA-006,Bendungan Karian,ACTIVE,78.40,2024-12-09,2026-09-28,2310000000000.00,2032800000000.00,88.00,,Banten,,
864ac3c8-e070-443c-919f-fb8437a6f945,DEMO-SDA-007,Pengendalian Banjir Serayu,PLANNING,18.70,2026-05-23,2026-12-19,685000000000.00,239750000000.00,35.00,,Jawa Tengah,,
c02ae621-1175-4396-93af-6e00a1a027e8,DEMO-SDA-008,Sistem Air Baku Sepaku,ACTIVE,69.50,2025-07-07,2026-10-15,1120000000000.00,750400000000.00,67.00,,Kalimantan Timur,,
8be8869b-6cba-4739-b3c0-2fbad9eed111,DEMO-SDA-009,Rehabilitasi Irigasi Batanghari,COMPLETED,100.00,2024-09-20,2026-07-22,540000000000.00,540000000000.00,100.00,,Jambi,,
35f42e14-9dd0-4885-965f-b84494a748a3,DEMO-SDA-010,Embung Rote Ndao,DRAFT,5.00,2026-08-01,2027-04-18,325000000000.00,32500000000.00,10.00,,Nusa Tenggara Timur,,
7b86d2a8-1942-4f1d-93ce-938b1ac1ff41,GIS-SMOKE-1787821487,GIS Smoke Test Project,DRAFT,0.00,2026-01-01,2026-12-31,0.00,0.00,0.00,,,,
eec9c643-c947-46f2-a094-bc85acb846a1,GIS-SMOKE-1787821759,GIS Smoke Test Project,DRAFT,50.00,2026-01-01,2026-12-31,0.00,0.00,0.00,,,,
b649dc50-48ff-4799-9df2-55c68ee8fa58,RSK-1787670240,Risk Smoke Project,DRAFT,0.00,,,0.00,0.00,0.00,,,,
